 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  11/28/2006 21:44:27                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


126 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000013 0x0126B1E8 0x00000034 0x0126B1D8 0x00000054 0x00000000 new         N       N    NxAllVehicle.cpp(28) NxAllVehicle::getSingleton
000014 0x0126B728 0x00000004 0x0126B718 0x00000024 0x00000000 new         N       N    ??(0) ??
019670 0x0B054278 0x000001DC 0x0B054268 0x000001FC 0x00000000 new         N       N    ??(0) ??
019673 0x0B054578 0x00000030 0x0B054568 0x00000050 0x00000000 new         N       N    ogreceguirenderer.cpp(61) CEGUI::createQuadRenderOp
019671 0x0B054828 0x00000054 0x0B054818 0x00000074 0x00000000 new         N       N    ??(0) ??
019672 0x0B0548C8 0x0000000C 0x0B0548B8 0x0000002C 0x00000000 new         N       N    ??(0) ??
019683 0x0B054D98 0x00000034 0x0B054D88 0x00000054 0x00000000 new         N       N    ogred3d9hardwarebuffermanager.cpp(71) Ogre::D3D9HardwareBufferManager::create
019685 0x0B054E78 0x00000004 0x0B054E68 0x00000024 0x00000000 new         N       N    ogresharedptr.h(55) Ogre::SharedPtr<class Ogre::HardwareVer
019687 0x0B054F38 0x00000030 0x0B054F28 0x00000050 0x00000000 new         N       N    ogreceguirenderer.cpp(61) CEGUI::createQuadRenderOp
019697 0x0B055350 0x00000034 0x0B055340 0x00000054 0x00000000 new         N       N    ogred3d9hardwarebuffermanager.cpp(71) Ogre::D3D9HardwareBufferManager::create
019699 0x0B055430 0x00000004 0x0B055420 0x00000024 0x00000000 new         N       N    ogresharedptr.h(55) Ogre::SharedPtr<class Ogre::HardwareVer
019701 0x0B0554F0 0x0000000C 0x0B0554E0 0x0000002C 0x00000000 new         N       N    ogreceguirenderer.cpp(691) CEGUI::OgreCEGUIRenderer::constructor_i
019703 0x0B055598 0x000001A8 0x0B055588 0x000001C8 0x00000000 new         N       N    ??(0) ??
019704 0x0B056C20 0x0000009C 0x0B056C10 0x000000BC 0x00000000 new         N       N    ogreceguirenderer.cpp(731) CEGUI::OgreCEGUIRenderer::createResourc
019836 0x0B06C8F0 0x00000004 0x0B06C8E0 0x00000024 0x00000000 new         N       N    ogresharedptr.h(55) Ogre::SharedPtr<class Ogre::Resource>::
019776 0x0B06CAF0 0x0000000C 0x0B06CAE0 0x0000002C 0x00000000 new         N       N    ??(0) ??
019892 0x0B06D950 0x0000000C 0x0B06D940 0x0000002C 0x00000000 new         N       N    ??(0) ??
019805 0x0B06DA98 0x0000000C 0x0B06DA88 0x0000002C 0x00000000 new         N       N    ??(0) ??
019807 0x0B06DAF0 0x00000004 0x0B06DAE0 0x00000024 0x00000000 new         N       N    ogresharedptr.h(55) Ogre::SharedPtr<class Ogre::Resource>::
019864 0x0B06DB40 0x000002E4 0x0B06DB30 0x00000304 0x00000000 new         N       N    ogred3d9texturemanager.cpp(54) Ogre::D3D9TextureManager::createImpl
